Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
RecipeDef&KokuInstallAdvancedDruggedSternum.jobString	Installing a advanced drugged sternum.		Installiert einen fortgeschrittenen drogeninduzierten Brustkorb		Instaluje zaawansowany narkotyzujący mostek							Устанавливает усовершенствованный наркотический грудной мост	Встановлює вдосконалений наркотичний груди											Instala um esterno narcotizante avançado					
RecipeDef&KokuInstallAdvancedAdrenalineSternum.label	install advanced adrenaline sternum		Fortgeschrittenen Adrenalin Brustkorb installieren		Zainstaluj zaawansowany mostek z adrenaliną							Установите усовершенствованный грудной мост с адреналином	Встановити вдосконалений адреналіновий груди											Instalar ponte de adrenalina avançada					
RecipeDef&KokuInstallAdvancedAdrenalineSternum.description	Installs an advanced adrenaline sternum.		Installiert einen fortgeschrittenen Adrenalin-Brustkorb.		Instaluje zaawansowany mostek z adrenaliną.							Устанавливает усовершенствованный грудной мост с адреналином.	Встановлює вдосконалений адреналіновий груди.											Instala um ponte de adrenalina avançada.					
RecipeDef&KokuInstallAdvancedAdrenalineSternum.jobString	Installing an advanced adrenaline sternum.		Installiert einen fortgeschrittenen Adrenalin-Brustkorb		Instaluje zaawansowany mostek z adrenaliną							Устанавливает усовершенствованный грудной мост с адреналином	Встановлює вдосконалений адреналіновий груди											Instala um ponte de adrenalina avançada					
RecipeDef&KokuInstallAdvancedPainkillerSternum.label	install advanced painkiller sternum		Fortgeschrittenen schmerzstillenden Brustkorb installieren		Zainstaluj zaawansowany przeciwbólowy mostek							Установите усовершенствованный обезболивающий грудной мост	Встановити вдосконалений знеболювальний груди											Instalar ponte analgésico avançado					
RecipeDef&KokuInstallAdvancedPainkillerSternum.description	Installs a advanced painkiller sternum.		Installiert einen fortgeschrittenen schmerzstillenden Brustkorb.		Instaluje zaawansowany przeciwbólowy mostek.							Устанавливает усовершенствованный обезболивающий грудной мост.	Встановлює вдосконалений знеболювальний груди.											Instala um ponte analgésico avançado.					
RecipeDef&KokuInstallAdvancedPainkillerSternum.jobString	Installing a advanced painkiller sternum.		Installiert einen fortgeschrittenen schmerzstillenden Brustkorb		Instaluje zaawansowany przeciwbólowy mostek							Устанавливает усовершенствованный обезболивающий грудной мост	Встановлює вдосконалений знеболювальний груди											Instala um ponte analgésico avançado					
RecipeDef&KokuInstallAdvancedNanomachinesRibcage.label	install advanced nanomachines ribcage		Installiere einen fortschrittlichen Brustkorb mit Nanomaschinen		Zainstaluj zaawansowaną klatke piersiową z nanomaszynami							Установите усовершенствованную грудную клетку с наномашинами	Встановити вдосконалену грудну клітку з наномашинами											Instalar caixa torácica avançada com nanomáquinas					
RecipeDef&KokuInstallAdvancedNanomachinesRibcage.description	Installs an advanced nanomachines ribcage.		Installiert einen fortschrittlichen Brustkorb mit Nanomaschinen.		Instaluje zaawansowaną klatke piersiową z nanomaszynami.							Устанавливает усовершенствованную грудную клетку с наномашинами.	Встановлює вдосконалену грудну клітку з наномашинами.											Instala uma caixa torácica avançada com nanomáquinas.					
RecipeDef&KokuInstallAdvancedNanomachinesRibcage.jobString	Installing an advanced nanomachines ribcage.		Installiere einen fortschrittlichen Brustkorb mit Nanomaschinen		Instaluje zaawansowaną klatke piersiową z nanomaszynami							Устанавливает усовершенствованную грудную клетку с наномашинами	Встановлює вдосконалену грудну клітку з наномашинами											Instala uma caixa torácica avançada com nanomáquinas					
RecipeDef&KokuInstallAdvancedBrain.label	install advanced brain		Installiere ein fortschrittliches Gehirn		Zainstaluj zaawansowany mózg							Установите усовершенствованный мозг	Встановити вдосконалений мозок											Instalar cérebro avançado					
RecipeDef&KokuInstallAdvancedBrain.description	Installs advanced brain.		Installiert ein fortschrittliches Gehirn.		Instaluje zaawansowany mózg.							Устанавливает усовершенствованный мозг.	Встановлює вдосконалений мозок.											Instala um cérebro avançado.					
RecipeDef&KokuInstallSyntheticLung.label	install synthetic lung		Installiere eine synthetische Lunge		Zainstaluj syntetyczne płuco							Установите синтетическое легкое	Встановіть синтетичне легке											Instalar pulmão sintético					
RecipeDef&KokuInstallSyntheticLung.description	Installs synthetic lung.		Installiert eine synthetische Lunge.		Instaluje syntetyczne płuco.							Устанавливает синтетическое легкое.	Встановлює синтетичне легке.											Instala um pulmão sintético.					
RecipeDef&KokuInstallSyntheticStomach.label	install synthetic stomach		Installiere einen synthetischen Magen		Zainstaluj syntetyczny żołądek							Установите синтетический желудок	Встановіть синтетичний шлунок											Instalar estômago sintético					
